"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_REGULATION_OF_IFNA_SIGNALING","REACTOME_REGULATION_OF_IFNA_SIGNALING",26,0.772202421921729,1.8019962938099,7.0454029333737e-07,0.00330640759663228,0.00321492860170263,3880,"tags=69%, list=15%, signal=59%","IFNA5/PTPN1/JAK1/IFNA7/IFNA6/IFNA10/IFNA14/IFNA17/IFNA16/IFNA4/IFNA13/PTPN11/IFNA2/SOCS3/SOCS1/TYK2/PTPN6/STAT2"
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY","WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY",30,0.727294039754326,1.71894610588208,6.96129617171374e-06,0.0163346814669263,0.0158827467917785,3880,"tags=53%, list=15%, signal=46%","MAVS/IFNA5/JAK1/IFNA7/IFNA6/IFNA10/IFNA14/IFNA17/IKBKE/IFNA16/IFNA4/IFNA13/IFNA2/TYK2/TRAF3/STAT2"
