group,P
A1BG,0.877143067594115
A1BG-AS1,0.810758666794246
A1CF,0.0411247288313673
A2M,0.130940222430723
A2M-AS1,0.610605074571462
A2ML1,0.998767119796803
A2MP1,0.310656342101666
A3GALT2,0.648420495953516
A4GALT,0.939858263222749
A4GNT,0.0977794743869012
AA06,0.916071251930168
AAAS,0.857914710970248
AACS,0.441116386299637
AACSP1,0.902137886097902
AADAC,0.66281011097339
AADACL2-AS1,0.556573457063554
AADACL3,0.794792938220408
AADACL4,0.513935100260752
AADACP1,0.0508066480389173
AADAT,0.644644716494418
AAGAB,0.390282493813294
AAK1,0.352257165468737
AAMDC,0.463515895286574
AAMP,0.723043535274283
AANAT,0.501508787476603
AAR2,0.583417280058175
AARD,0.705531420847605
AARS1,0.451002739308058
AARS2,0.273152365106032
AARSD1,0.767206681667836
AASDH,0.730259097446804
AASDHPPT,0.708142659744116
AASS,0.946950495751591
AATBC,0.563237603501547
AATF,0.566908493802156
AATK,0.388782422926261
ABALON,0.601004402270261
ABAT,0.229011926907676
ABCA1,0.130493745215418
ABCA10,0.891808134774447
ABCA11P,0.571293213827236
ABCA12,0.356903537312534
ABCA13,0.445944786580389
ABCA17P,0.498126679434381
ABCA2,0.881863150331705
ABCA3,0.644269086046116
ABCA4,0.443543173113271
ABCA5,0.164921422061277
ABCA6,0.58280771467884
ABCA7,0.361551687465403
ABCA8,0.382571726900253
ABCA9,0.950388837248037
ABCA9-AS1,0.7710602271711
ABCB1,0.535730683255295
ABCB10,0.394855631626754
ABCB4,0.592492803634617
ABCB5,0.762870722474844
ABCB6,0.0195379204535515
ABCB7,0.359384213784907
ABCB8,0.120005219432925
ABCB9,0.845406926125639
ABCC10,0.621533169142699
ABCC11,0.876827560541975
ABCC12,0.157857600276731
ABCC13,0.86666898075118
ABCC2,0.565093248482118
ABCC3,0.343495130834988
ABCC4,0.700829542231942
ABCC5,0.738677900246511
ABCC5-AS1,0.436962345029904
ABCC6P1,0.268238430523207
ABCC8,0.454053165688508
ABCC9,0.413782168538914
ABCD1,0.257801629003208
ABCD2,0.841258845845132
ABCD3,0.655201176213018
ABCD4,0.313973064219094
ABCE1,0.622269144691795
ABCF2,0.369633467047728
ABCF3,0.466216384890783
ABCG1,0.692316214364255
ABCG2,0.620539117813873
ABCG4,0.267888202118316
ABCG5,0.33321152313651
ABCG8,0.470747341290214
ABHD1,0.431227617868202
ABHD10,0.474353687838756
ABHD11,0.0213788481013858
ABHD11-AS1,0.0130495972074556
ABHD12,0.111915986327712
ABHD12B,0.116138497240012
ABHD13,0.22994529753187
ABHD14A,0.0503918752010423
ABHD14A-ACY1,0.0548661358117561
ABHD14B,0.0505509182841559
ABHD15,0.548377076905901
ABHD16A,0.309325852652916
ABHD16B,0.674707490394065
ABHD17A,0.698722955687806
ABHD17B,0.264532040273373
ABHD17C,0.567075069660709
ABHD18,0.780023412734399
ABHD2,0.0655230921092365
ABHD3,0.906939327593702
ABHD4,0.120585232791555
ABHD5,0.104454486430051
ABHD6,0.129789730552568
ABHD8,0.988770102595713
ABI1,0.91157976554442
ABI2,0.509137188412904
ABI3,0.50099898388056
ABI3BP,0.34771394154637
ABITRAM,0.359395104973682
ABL1,0.758756748703677
ABL2,0.368477273747417
ABLIM1,0.80727805604774
ABLIM2,0.563937737173131
ABLIM3,0.72229101793629
ABO,0.697908380595315
ABRA,0.547843455269502
ABRACL,0.526921178957026
ABRAXAS1,0.394643001215181
ABRAXAS2,0.340972386709665
ABT1,0.0509747994499588
ABTB1,0.842482243523339
ABTB2,0.535738847500046
ACAA1,0.169943364670681
ACAA2,0.26650715512746
ACACB,0.807711647896061
ACAD10,0.733177660018848
ACAD11,0.155497169751906
ACAD8,0.802628526870951
ACAD9,0.207267931812136
ACADL,0.579376424190011
ACADM,0.518024950090518
ACADS,0.109319884866704
ACADSB,0.225651766706934
ACADVL,0.700369138706014
ACAN,0.299869805167815
ACAP1,0.525869584750504
ACAP2,0.920480867882714
ACAP3,0.591988121590769
ACAT1,0.0469837577380574
ACAT2,0.533744992021399
ACBD3,0.391219365796116
ACBD3-AS1,0.254508711230292
ACBD4,0.928439646234534
ACBD5,0.955305487478458
ACBD6,0.567022308902793
ACBD7,0.232331970222547
ACBD7-DCLRE1CP1,0.265749846322525
ACCS,0.251542993450065
ACCSL,0.223074679351842
ACD,0.210798701955966
ACE,0.634025404207066
ACE2,0.643379042460872
ACER1,0.600692404860627
ACER2,0.45638294494467
ACER3,0.39513771704758
ACHE,0.50450503321017
ACIN1,0.733140960242091
ACKR1,0.700452287291247
ACKR2,0.902143499106527
ACKR3,0.678430243553826
ACKR4,0.152889993855482
ACLY,0.343493082048788
ACMSD,0.632187130792587
ACO1,0.819254673855342
ACO2,0.0247227532167325
ACOD1,0.631304648501635
ACOT1,0.269303187750276
ACOT11,0.565127159608459
ACOT12,0.788476646695957
ACOT13,0.187514468476901
ACOT2,0.443467433622609
ACOT4,0.386053202780647
ACOT6,0.176977121199438
ACOT7,0.69390045624041
ACOT8,0.582368571297069
ACOT9,0.0652090838894734
ACOX1,0.211751171846912
ACOX2,0.148329356296242
ACOX3,0.287649566142869
ACOXL,0.815650928997799
ACOXL-AS1,0.789711578564167
ACP1,0.385163687645584
ACP2,0.0697572316610102
ACP3,0.589662660531745
ACP4,0.119564167381382
ACP5,0.372661392073271
ACP6,0.925331050934436
ACP7,0.578093730872682
ACRBP,0.00626013557141333
ACRV1,0.956419328617131
ACSBG1,0.294849847765253
ACSBG2,0.796877885296329
ACSF2,0.00660100321482714
ACSF3,0.23297848581421
ACSL1,0.120454237085506
ACSL3,0.982067416788398
ACSL4,0.114426559372193
ACSL5,0.398610551311438
ACSL6,0.0857710771228744
ACSM1,0.374892814597777
ACSM2A,0.263045789943125
ACSM2B,0.332897117306827
ACSM3,0.327883262256771
ACSM4,0.790780908401027
ACSM5,0.72537805526942
ACSM6,0.522267815549485
ACSS1,0.486764840399017
ACSS2,0.506932935902607
ACSS3,0.650467452365367
ACTA1,0.765184703711978
ACTA2,0.044310299330189
ACTA2-AS1,0.0543728750922302
ACTB,0.251828735344582
