"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MODULE_137","MODULE_137",486,0.24807475615059,1.65635984800778,3.90578006947933e-06,0.00153077781678868,0.00148755684224668,5788,"tags=46%, list=35%, signal=31%","DPP6/TLE1/RAB31/CNTNAP2/SYNE1/ELMO1/PCDH9/PTPRD/TENM4/GNG7/MAGI2/CDH4/SORBS2/MEIS2/RYR3/APBA2/ZBTB20/FABP7/SYT1/ELAVL4/MTSS1/DCLK1/SLC17A7/NR4A1/EFNA2/GABBR2/PHYHIP/COL6A2/ELF3/CCK/PTPRN2/THBS2/RNASE1/SLC2A3/PDGFRA/BIN1/TUBGCP4/CDH22/ST3GAL5/PRKCZ/IQSEC1/ATP2B2/MXD4/STMN1/SNAP25/KRT4/TUSC3/CHN2/LIPA/STXBP1/KLHDC3/TBC1D9/MYO10/PPL/TRIM9/KHDRBS3/RALGPS1/RBMS3/STMN2/PKIA/GABRB3/CACNG3/COX7A1/ABLIM1/NCAM1/PTN/NRXN1/LPL/ZIC2/GAP43/ARHGDIG/LDB2/ABLIM3/ITPR1/PCK1/ABCC8/MBP/FOS/ALCAM/CA12/MEF2C/MYLK/CELF2/EFNB3/MT1G/FGFR2/GNAO1/ABCC5/DNM1/PTK2B/WFDC2/AGT/PTP4A3/PLCB1/NECAP1/PRKCB/FAM107A/LY6H/NEURL1/PTPRO/FBXL7/GNG12/GPX3/CHL1/CRMP1/WDR7/ALDH1A1/ABCA3/BICD1/GAD1/SGCE/MEGF9/EPAS1/PPP3CA/SFRP1/PLEKHB1/SCG2/CABP1/SCG5/LMO4/APLP1/SLC1A3/LAMA2/CSRP2/CACNA1A/PCP4/FAT1/TSPAN8/SLC23A2/SNPH/SV2B/APOC4/HRAS/BCAS1/GRIK5/NOVA1/APBB1/INPP1/CHRNB1/GATM/DIRAS3/PARM1/SH3GL3/KRT17/ALDH1A3/PLCH2/COL9A2/RSBN1/RTN1/ALDH4A1/AHDC1/ZBTB16/TNC/FOXG1/ASCL1/TLE2/KIF21B/TRIM2/PLXNA2/CLDN10/RAB11B/SETBP1/STX1A/MTUS1/PDE4B/TACC2/FZD7/KCNA5/ANK3/DDX17/PER1/TF/EVI2A/PALM/GFPT2/DLG4/PCBP4/SCHIP1/ITPKA/SCO2/KCTD17/CYP2F1/ARNT2/APC2/NID2/ITGA6/INHBB/CRYM/AAK1/ENO2/GPRC5B/BCL11A/PHLDA1/CX3CR1/CLIP3/C3/MAPK8IP2/MAPK10/APOD/ORM2/RGS7/BDH1/FRZB/LGR5/GRIA2/DLK1/SPOCK1/DBN1/SMARCD3/SPP1/CSH2/ROR1/ANGPT1/KRT86/PEG10/EPHA4/MTMR9/IFIT1/CDK18/SNCB/FEZ1/ABAT/RELN/LZTS3/VSNL1/NRGN"
"MODULE_100","MODULE_100",486,0.245540129959722,1.6394365095859,5.97960084683079e-06,0.00153077781678868,0.00148755684224668,5788,"tags=46%, list=35%, signal=31%","DPP6/TLE1/RAB31/CNTNAP2/SYNE1/ELMO1/PCDH9/PTPRD/TENM4/GNG7/MAGI2/CDH4/SORBS2/MEIS2/RYR3/APBA2/ZBTB20/FABP7/SYT1/ELAVL4/MTSS1/DCLK1/SLC17A7/NR4A1/EFNA2/GABBR2/PHYHIP/COL6A2/ELF3/CCK/PTPRN2/THBS2/RNASE1/SLC2A3/PDGFRA/BIN1/TUBGCP4/CDH22/ST3GAL5/PRKCZ/IQSEC1/ATP2B2/MXD4/STMN1/SNAP25/KRT4/TUSC3/CHN2/LIPA/STXBP1/KLHDC3/TBC1D9/MYO10/PPL/TRIM9/KHDRBS3/RALGPS1/RBMS3/STMN2/PKIA/GABRB3/CACNG3/COX7A1/ABLIM1/NCAM1/PTN/NRXN1/LPL/ZIC2/GAP43/ARHGDIG/LDB2/ABLIM3/ITPR1/PCK1/ABCC8/MBP/FOS/ALCAM/CA12/MEF2C/MYLK/CELF2/EFNB3/MT1G/FGFR2/GNAO1/ABCC5/DNM1/PTK2B/WFDC2/AGT/PTP4A3/PLCB1/NECAP1/PRKCB/FAM107A/LY6H/NEURL1/PTPRO/FBXL7/GNG12/GPX3/CHL1/CRMP1/WDR7/ALDH1A1/ABCA3/BICD1/GAD1/SGCE/MEGF9/EPAS1/PPP3CA/SFRP1/PLEKHB1/SCG2/CABP1/SCG5/LMO4/APLP1/SLC1A3/LAMA2/CSRP2/CACNA1A/PCP4/FAT1/TSPAN8/SLC23A2/SNPH/SV2B/APOC4/HRAS/BCAS1/GRIK5/NOVA1/APBB1/INPP1/CHRNB1/GATM/CDH18/DIRAS3/PARM1/SH3GL3/NAB2/ALDH1A3/PLCH2/COL9A2/RSBN1/RTN1/ALDH4A1/AHDC1/ZBTB16/TNC/FOXG1/TLE2/KIF21B/TRIM2/PLXNA2/CLDN10/RAB11B/SETBP1/STX1A/MTUS1/PDE4B/TACC2/FZD7/KCNA5/ANK3/DDX17/PER1/TF/EVI2A/PALM/GFPT2/DLG4/PCBP4/SCHIP1/ITPKA/SCO2/KCTD17/ARNT2/APC2/NID2/ITGA6/INHBB/CRYM/AAK1/ENO2/GPRC5B/BCL11A/PHLDA1/PTPRZ1/CX3CR1/CLIP3/C3/MAPK8IP2/MAPK10/APOD/ORM2/RGS7/FRZB/LGR5/GRIA2/DLK1/SPOCK1/DBN1/SMARCD3/SPP1/CSH2/ROR1/ANGPT1/KRT86/PEG10/EPHA4/MTMR9/IFIT1/CDK18/SNCB/FEZ1/ABAT/RELN/LZTS3/VSNL1/NRGN"
"MODULE_66","MODULE_66",494,0.244358337996945,1.63339191327382,4.59705188978985e-06,0.00153077781678868,0.00148755684224668,5788,"tags=46%, list=35%, signal=31%","DPP6/TLE1/RAB31/CNTNAP2/SYNE1/ELMO1/PCDH9/PTPRD/TENM4/GNG7/MAGI2/CDH4/SORBS2/MEIS2/RYR3/APBA2/ZBTB20/PLCB2/FABP7/SYT1/ELAVL4/MTSS1/DCLK1/SLC17A7/NR4A1/EFNA2/GABBR2/PHYHIP/COL6A2/ELF3/CCK/PTPRN2/THBS2/RNASE1/SLC2A3/PDGFRA/BIN1/TUBGCP4/CDH22/ST3GAL5/PRKCZ/IQSEC1/ATP2B2/MXD4/STMN1/SNAP25/KRT4/TUSC3/CHN2/LIPA/STXBP1/KLHDC3/TBC1D9/MYO10/PPL/TRIM9/KHDRBS3/RALGPS1/RBMS3/STMN2/PKIA/GABRB3/CACNG3/COX7A1/ABLIM1/NCAM1/PTN/NRXN1/LPL/ZIC2/GAP43/ARHGDIG/LDB2/ABLIM3/ITPR1/PCK1/ABCC8/MBP/FOS/ALCAM/CA12/MEF2C/MYLK/CELF2/EFNB3/MT1G/FGFR2/GNAO1/ABCC5/DNM1/PTK2B/WFDC2/AGT/PTP4A3/PLCB1/NECAP1/PRKCB/FAM107A/LY6H/NEURL1/PTPRO/FBXL7/GNG12/GPX3/CHL1/CRMP1/WDR7/ALDH1A1/ABCA3/BICD1/GAD1/SGCE/MEGF9/EPAS1/PPP3CA/SFRP1/PLEKHB1/SCG2/CABP1/SCG5/LMO4/APLP1/SLC1A3/LAMA2/CSRP2/CACNA1A/PCP4/FAT1/TSPAN8/SLC23A2/SNPH/SV2B/APOC4/HRAS/BCAS1/GRIK5/NOVA1/APBB1/INPP1/CHRNB1/GATM/CDH18/DIRAS3/PARM1/SH3GL3/NAB2/CAPN3/ALDH1A3/PLCH2/COL9A2/RSBN1/RTN1/ALDH4A1/AHDC1/ZBTB16/TNC/FOXG1/TLE2/KIF21B/TRIM2/PLXNA2/CLDN10/RAB11B/SETBP1/STX1A/MTUS1/PDE4B/TACC2/FZD7/KCNA5/ANK3/DDX17/PER1/TF/EVI2A/PALM/GFPT2/DLG4/PCBP4/SCHIP1/ITPKA/SCO2/KCTD17/ARNT2/APC2/NID2/ITGA6/INHBB/CRYM/AAK1/ENO2/GPRC5B/BCL11A/PHLDA1/PTPRZ1/CX3CR1/CLIP3/C3/MAPK8IP2/MAPK10/APOD/ORM2/RGS7/FRZB/LGR5/GRIA2/ATP2B1/DLK1/SPOCK1/DBN1/SMARCD3/SPP1/CSH2/ROR1/ANGPT1/KRT86/PEG10/EPHA4/MTMR9/IFIT1/CDK18/SNCB/FEZ1/ABAT/RELN/LZTS3/VSNL1/NRGN"
"MODULE_11","MODULE_11",483,0.240983299736511,1.60855784587754,1.34076372312763e-05,0.00257426634840505,0.00250158284130918,5974,"tags=47%, list=37%, signal=31%","DPP6/TLE1/RAB31/CNTNAP2/SYNE1/ELMO1/PCDH9/PTPRD/TENM4/GNG7/MAGI2/CDH4/SORBS2/MEIS2/RYR3/APBA2/ZBTB20/SLIT2/FABP7/SYT1/ELAVL4/MTSS1/BSN/DCLK1/SLC17A7/EFNA2/GABBR2/PHYHIP/SGK1/CCK/ST6GAL1/NDN/PTPRN2/THBS2/RNASE1/SLC2A3/PDGFRA/BIN1/TUBGCP4/CDH22/ST3GAL5/PRKCZ/IQSEC1/ATP2B2/MXD4/STMN1/SNAP25/OAZ2/KRT4/TUSC3/CHN2/LIPA/KLHDC3/TBC1D9/MYO10/CD200/CARD10/TRIM9/KHDRBS3/RALGPS1/RBMS3/STMN2/PKIA/GABRB3/CACNG3/COX7A1/ABLIM1/NCAM1/PTN/NRXN1/LPL/ZIC2/GAP43/ARHGDIG/LDB2/ABLIM3/ITPR1/ABCC8/MBP/FOS/ALCAM/CA12/MEF2C/MYLK/HAP1/CELF2/EFNB3/MT1G/FGFR2/ABCA1/GNAO1/ABCC5/DNM1/PTK2B/AGT/PTP4A3/PLCB1/NECAP1/PRKCB/HLF/FAM107A/LY6H/ADARB1/NEURL1/PTPRO/FBXL7/GPX3/CHL1/CRMP1/WDR7/ALDH1A1/ABCA3/BICD1/GAD1/RNF167/SGCE/MEGF9/EPAS1/LMO3/SFRP1/PLEKHB1/SCG2/CABP1/SCG5/LMO4/APLP1/SLC1A3/CSRP2/CACNA1A/PCP4/FAT1/TSPAN8/SLC23A2/SNPH/SV2B/HRAS/BCAS1/GRIK5/NOVA1/APBB1/INPP1/CHRNB1/GATM/SH3GL3/NAB2/CAPN3/PLCH2/COL9A2/RSBN1/RTN1/ALDH4A1/AHDC1/ZBTB16/TNC/FOXG1/TLE2/KIF21B/TRIM2/PLXNA2/CLDN10/RAB11B/SETBP1/STX1A/GNB5/MTUS1/PDE4B/TACC2/FZD7/ANK3/DDX17/PER1/EVI2A/PALM/GFPT2/DLG4/BCKDHA/PCBP4/SCHIP1/ITPKA/SCO2/KCTD17/IGSF3/ARNT2/APC2/ITGA6/GALC/CRYM/AAK1/ENO2/GPRC5B/BCL11A/REV3L/PTPRZ1/CX3CR1/CLIP3/MAPK8IP2/MAPK10/APOD/ORM2/RGS7/LGR5/GRIA2/ATP2B1/SPOCK1/DBN1/SMARCD3/SPP1/LAPTM5/ANGPT1/KRT86/PEG10/EPHA4/MTMR9/IFIT1/CDK18/SNCB/FEZ1/ABAT/LZTS3/VSNL1/NRGN/APOC1/RREB1/CADM1/OMG/CLEC3B/COLGALT2"
"MODULE_129","MODULE_129",190,0.286136938677009,1.76277459719558,0.000111114072683765,0.0170671215642263,0.0165852373753241,6325,"tags=54%, list=39%, signal=33%","HDAC9/CTNNA2/PCDH9/ELOVL6/ARHGEF10/AMY2B/NRG1/MTSS1/CELSR1/NRP1/SMAD3/THBS2/RNASE1/DLX5/PCCA/KIR3DL1/VLDLR/TUSC3/TPM2/CCL17/MYO10/MRC1/SLC16A4/SLC7A8/ZNF821/TOB2/TRIM9/KHDRBS3/RALGPS1/ABLIM1/LPIN2/ATP1A2/RGL1/ARHGDIG/PCK1/KCNS1/NOL4/RNASE4/PRR4/MYLK/B4GALT5/C22orf31/KCNB1/CD52/PLCB1/ST3GAL1/CRMP1/SERPINF2/LGMN/GRK5/EML1/SFRP1/BMP2/C14orf132/UNC13B/SYNE2/ZNF593/GNG11/HRAS/HPX/IFIT3/KCNA1/SLC25A16/ME3/CD247/CD27/CNR2/TNC/SETBP1/ZNF365/FZD7/SCHIP1/PROM1/TSPAN1/TMEM8B/ITGA6/INHBB/GPRC5B/BBOX1/NAT2/AFP/AKAP12/MAPK8IP2/DBN1/SPP1/KCNK2/PTPRM/PEG10/SLC6A1/CEACAM1/APOC1/PDYN/SYT17/RAC3/LILRB5/CBY1/PDGFRL/TULP2/GRB14/ARSB/SSPN/LEPR"
"MODULE_49","MODULE_49",237,0.257730395380212,1.62807382330608,0.000334934828273008,0.042871658018945,0.0416611917974671,6469,"tags=51%, list=40%, signal=31%","STK32B/HDAC9/CNTNAP2/TMEM132B/DSCAM/CD72/ELAVL4/MCPH1/KCNS2/NELL1/SH3YL1/DAO/KCNN3/NXPH2/KCNIP1/ZNF423/SLC7A10/ZNF343/FCHO1/HCRTR2/LILRA4/PRR5L/CDC14A/NLRP1/KCNG4/MYBBP1A/CLYBL/HS3ST2/MKKS/SNAP25/OTOR/CNTNAP5/STXBP1/DNAH5/P2RX3/ZNF821/CNDP1/NLGN1/VAMP5/GAP43/SLC12A8/CTRB1/CACNB4/COL9A1/EDDM3B/WNT1/NEIL3/SNAI1/SLC12A5/ZNF845/TAF4B/RIPK4/DDN/ZNF282/TOR2A/CHL1/SNX4/GIGYF2/SH3RF1/GPR55/A1BG/ZNF837/CPEB1/RTTN/ARHGEF40/TAF9/AK1/EXOC5/MOV10L1/PLXNA1/KCNA1/SH3GL3/MCF2L2/CCDC65/LRRN2/LGSN/KCNE4/ZNF267/SLC16A5/TDP1/COPS7B/SLC35A5/KLHL32/UPB1/CAPS2/C1orf105/ADCYAP1/KLHL28/TYMP/GNA14/TNFSF4/GGPS1/PSD2/SLC25A28/MRPS27/HIC2/ADAMTS12/GNLY/FRZB/YEATS2/BCAS4/EPB41L1/CORO2B/REXO1/ALOX12/KLK2/RIMS1/GNGT2/AHCTF1/CDX1/FOXRED1/ANKMY1/NHLH1/ANKRD27/AKAP9/FBXO42/KAT2B/MIOS/TICAM1/NOL10/ACBD6"
